,0,1
539,AZALEA GARDEN ROAD,E PRINCESS ANNE ROAD
540,1100 BLOCK OF GEORGETOWN ROAD,
541,900 BLOCK OF BAGNALL ROAD,
542,401 MONTICELLO AVENUE,
543,38TH STREET,GRANBY STREET
544,9519 17TH BAY STREET,
545,6000 BLOCK OF HAMPTON BOULEVARD,
546,W OLNEY ROAD,BOUSH STREET
547,COLONIAL AVENUE,MASSACHUSETTS AVENUE
548,DELAWARE AVENUE,MAYFLOWER ROAD
549,COLONIAL AVENUE,NEW HAMPSHIRE AVENUE
550,COLONIAL AVENUE,MAYFLOWER ROAD
551,MAYFLOWER ROAD,NEWPORT AVENUE
552,W VIRGINIA BEACH BOULEVARD,LLEWELLYN AVENUE
553,DUKE STREET,W BRAMBLETON AVENUE
554,MASSACHUSETTS AVENUE,MAYFLOWER ROAD
555,E BRAMBLETON AVENUE,ROSWELL AVENUE
556,E CHARLOTTE STREET,WALKE STREET
557,E CITY HALL AVENUE,TIDEWATER DRIVE
558,E CHARLOTTE STREET,TIDEWATER DRIVE
559,4000 BLOCK OF LLEWELLYN AVENUE,
560,4TH VIEW STREET,W OCEAN VIEW AVENUE
561,8100 BLOCK OF HAMPTON BOULEVARD,
562,W OLNEY ROAD,BOUSH STREET
563,BOUSH STREET,W BRAMBLETON AVENUE
564,1200 BLOCK OF SURREY CRESCENT,
565,1300 BLOCK OF SURREY CRESCENT,
566,1600 BLOCK OF TARRALL AVENUE,
567,GRANBY STREET,LLEWELLYN AVENUE
568,6200 BLOCK OF ROLFE AVENUE,
569,1000 BLOCK OF CAMBRIDGE CRESCENT,
570,6100 BLOCK OF CARROLL PLACE,
571,500 BLOCK OF MAYFLOWER ROAD,
572,600 BLOCK OF MAYFLOWER ROAD,
573,1500 BLOCK OF CATALPA STREET,
574,100 BLOCK OF FILBERT STREET,
575,200 BLOCK OF FILBERT STREET,
576,COLONIAL AVENUE,MASSACHUSETTS AVENUE
577,800 BLOCK OF 51ST STREET,
578,TIDEWATER DRIVE,RUFFNER STREET
579,6500 BLOCK OF HAMPTON BOULEVARD,
580,6000 BLOCK OF HAMPTON BOULEVARD,
581,3530 BAPAUME AVENUE,
582,4100 BLOCK OF LLEWELLYN AVENUE,
583,DUKE STREET,W OLNEY ROAD
584,E CHARLOTTE STREET,TIDEWATER DRIVE
585,E CHARLOTTE STREET,WALKE STREET
586,E PRINCESS ANNE ROAD,TIDEWATER DRIVE
587,6455 KNOX ROAD,
588,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
589,500 BLOCK OF W LITTLE CREEK ROAD,
590,1029 PHILPOTTS ROAD,
591,7948 ARDMORE ROAD,
592,300 BLOCK OF E LITTLE CREEK ROAD,
593,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
594,E CITY HALL AVENUE,TIDEWATER DRIVE
595,9600 BLOCK OF 3RD BAY STREET,
596,19TH BAY STREET,PLEASANT AVENUE
597,9600 BLOCK OF 16TH BAY STREET,
598,9500 BLOCK OF 13TH BAY STREET,
599,3200 BLOCK OF PRETTY LAKE AVENUE,
600,DELAWARE AVENUE,MAYFLOWER ROAD
601,9600 BLOCK OF 4TH VIEW STREET,
602,11TH STREET,MONTICELLO AVENUE
603,WATER STREET,PARK AVENUE
604,35TH STREET,COLONIAL AVENUE
605,36TH STREET,COLONIAL AVENUE
606,E OCEAN VIEW AVENUE,SHORE DRIVE
607,MAGNOLIA AVENUE,HAMPTON BOULEVARD
608,400 BLOCK OF TIDEWATER DRIVE,
609,1100 BLOCK OF MONTICELLO AVENUE,
610,901 MAGNOLIA AVENUE,
611,800 BLOCK OF MONTICELLO AVENUE,
612,100 BLOCK OF PARK AVENUE,
613,4100 BLOCK OF MAYFLOWER ROAD,
614,MOWBRAY ARCH,W OLNEY ROAD
615,115 W LITTLE CREEK ROAD,
616,LAFAYETTE BOULEVARD,ORLEANS CIRCLE
617,VILLA CIRCLE,E 26TH STREET
618,200 BLOCK OF LAVALETTE AVENUE,
619,19TH BAY STREET,PRETTY LAKE AVENUE
620,18TH BAY STREET,PRETTY LAKE AVENUE
621,10TH BAY STREET,PRETTY LAKE AVENUE
622,11TH BAY STREET,PRETTY LAKE AVENUE
623,BERKLEY AVENUE EX,MARSH STREET
624,MAJESTIC AVENUE,MYRTLE AVENUE
625,MAGNOLIA AVENUE,JAMESTOWN CRESCENT
626,5900 BLOCK OF HAMPTON BOULEVARD,
627,E VIRGINIA BEACH BOULEVARD,CHAPEL STREET
628,4TH VIEW STREET,I-64W HIGHWAY
629,2600 BLOCK OF VILLA CIRCLE,
630,52ND STREET,COLLEY AVENUE
631,BOLLING AVENUE,JAMESTOWN CRESCENT
632,4TH BAY STREET,E OCEAN VIEW AVENUE
633,6TH BAY STREET,E OCEAN VIEW AVENUE
634,CAROLINA AVENUE,MAYFLOWER ROAD
635,MASON CREEK ROAD,W OCEAN VIEW AVENUE
636,8017 GLADE ROAD,
637,555 E LIBERTY STREET,
638,DELAWARE AVENUE,LLEWELLYN AVENUE
639,2125 KIMBALL TERRACE,
640,700 BLOCK OF W BRAMBLETON AVENUE,
641,MONTICELLO AVENUE,E VIRGINIA BEACH BOULEVARD
642,BLOW STREET,REDGATE AVENUE
643,200 BLOCK OF E LITTLE CREEK ROAD,
644,4000 BLOCK OF PLEASANT AVENUE,
645,9500 BLOCK OF 20TH BAY STREET,
646,HANOVER AVENUE,HAMPTON BOULEVARD
647,2300 BLOCK OF KIMBALL TERRACE,
648,INGLESIDE ROAD,E PRINCESS ANNE ROAD
649,E BRAMBLETON AVENUE,ROSWELL AVENUE
650,1630 MADISON AVENUE,
651,51ST STREET,KILLAM AVENUE
652,BLUESTONE AVENUE,49TH STREET
653,ROLFE AVENUE,WALNUT HILL STREET
654,RICHMOND PLACE,MANCHESTER AVENUE
655,HAMPTON BOULEVARD,JAMESTOWN CRESCENT
656,SURREY CRESCENT,UPPER BRANDON PLACE
657,38TH STREET,LLEWELLYN AVENUE
658,SOUTH MOWBRAY ARCH,YARMOUTH STREET
659,MAGNOLIA AVENUE,ROLFE AVENUE
660,GRACE STREET,YARMOUTH STREET
661,HAMPTON BOULEVARD,SURREY CRESCENT
662,BOLLING AVENUE,HAMPTON BOULEVARD
663,ARGYLE AVENUE,NORTH SHORE ROAD
664,1287 W OCEAN VIEW AVENUE,
665,DUNMORE STREET,YORK STREET
666,9634 SALEM STREET,
667,1234 RICHMOND CRESCENT,
668,150 PARK AVENUE,
669,HAMPTON BOULEVARD,LARCHMONT CRESCENT
670,3RD BAY STREET,E OCEAN VIEW AVENUE
671,E LITTLE CREEK ROAD,HALPRIN DRIVE
672,300 E LITTLE CREEK ROAD,
673,1000 MONTICELLO AVENUE,
674,900 BAGNALL ROAD,
675,301 TIDEWATER DRIVE,
676,CAMPOSTELLA ROAD,I-264E HIGHWAY
677,13TH VIEW STREET,W OCEAN VIEW AVENUE
678,400 BLOCK OF E LITTLE CREEK ROAD,
679,7246 GRANBY STREET,
680,920 N MILITARY HIGHWAY,
681,9520 20TH BAY STREET,
682,I-264E HIGHWAY,TIDEWATER DRIVE
683,I-264W HIGHWAY,E CITY HALL AVENUE
684,1503 LEA VIEW AVENUE,
685,100 BLOCK OF W VIRGINIA BEACH BOULEVARD,
686,49TH STREET,HAMPTON BOULEVARD
687,4TH VIEW STREET,STATEN STREET
688,600 BLOCK OF W OCEAN VIEW AVENUE,
689,900 BLOCK OF BAGNALL ROAD,
690,401 MONTICELLO AVENUE,
691,MOWBRAY ARCH,PEMBROKE AVENUE
692,700 BLOCK OF BOTETOURT STREET,
693,DRUMMOND PLACE,MOWBRAY ARCH
694,FAIRFAX AVENUE,MOWBRAY ARCH
695,200 BLOCK OF GRACE STREET,
696,700 BLOCK OF MEMORIAL PLACE,
697,300 BLOCK OF MOWBRAY ARCH,
698,800 BLOCK OF DUKE STREET,
699,MEMORIAL PLACE,MOWBRAY ARCH
700,9600 BLOCK OF 20TH BAY STREET,
701,MILL STREET,MOWBRAY ARCH
702,9640 SALEM STREET,
703,500 BLOCK OF MOWBRAY ARCH,
704,200 BLOCK OF W OLNEY ROAD,
705,SAINT PAULS BOULEVARD,UNION STREET
706,NORVIEW AVENUE,TIDEWATER DRIVE
707,6400 BLOCK OF HAMPTON BOULEVARD,
708,MONROE PLACE,JAMESTOWN CRESCENT
709,STOCKLEY GARDENS,REDGATE AVENUE
710,STOCKLEY GARDENS,W OLNEY ROAD
711,NORVIEW AVENUE,SEDGEFIELD DRIVE
712,1200 BLOCK OF SUSSEX PLACE,
713,1400 BLOCK OF KEMPSVILLE ROAD,
714,1100 BLOCK OF CHARLESTON STREET,
715,9600 BLOCK OF 11TH VIEW STREET,
716,15TH VIEW STREET,W OCEAN VIEW AVENUE
717,E MAIN STREET,PARK AVENUE
718,GRANBY STREET,SHIRLEY AVENUE
719,GLENDALE AVENUE,HAMPTON BOULEVARD
720,4TH VIEW STREET,W OCEAN VIEW AVENUE
721,4TH VIEW STREET,W OCEAN VIEW AVENUE
722,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
723,BLUESTONE AVENUE,49TH STREET
724,5200 BLOCK OF HAMPTON BOULEVARD,
725,48TH STREET,POWHATAN AVENUE
726,3100 BLOCK OF MARNE AVENUE,
727,300 BLOCK OF E LITTLE CREEK ROAD,
728,8000 HAMPTON BOULEVARD,
729,1200 BLOCK OF MERRIMAC AVENUE,
730,300 BLOCK OF E LITTLE CREEK ROAD,
731,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
732,1000 BLOCK OF MONTICELLO AVENUE,
733,1700 BLOCK OF GRANBY STREET,
734,COLONIAL AVENUE,W 21ST STREET
735,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
736,INGLESIDE ROAD,E PRINCESS ANNE ROAD
737,E VIRGINIA BEACH BOULEVARD,CHAPEL STREET
738,E LITTLE CREEK ROAD,TIDEWATER DRIVE
739,DELAWARE AVENUE,LLEWELLYN AVENUE
740,E LITTLE CREEK ROAD,GALVESTON BOULEVARD
741,6400 BLOCK OF AZALEA GARDEN ROAD,
742,4TH VIEW STREET,W OCEAN VIEW AVENUE
743,400 BLOCK OF FORT WORTH AVENUE,
744,W OLNEY ROAD,BOUSH STREET
745,300 BLOCK OF MOWBRAY ARCH,
746,5800 BLOCK OF HAMPTON BOULEVARD,
747,4600 BLOCK OF MAYFLOWER ROAD,
748,4700 BLOCK OF MAYFLOWER ROAD,
749,4200 BLOCK OF LLEWELLYN AVENUE,
750,4100 BLOCK OF LLEWELLYN AVENUE,
751,4000 BLOCK OF LLEWELLYN AVENUE,
752,7000 BLOCK OF HAMPTON BOULEVARD,
753,CHAPEL STREET,E BRAMBLETON AVENUE
754,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
755,1000 BERKLEY AVENUE EX,
756,ALEXANDER STREET,STRAND STREET
757,DELAWARE AVENUE,LLEWELLYN AVENUE
758,DUKE STREET,W OLNEY ROAD
759,300 BLOCK OF WATERSIDE DRIVE,
760,19TH BAY STREET,PLEASANT AVENUE
761,20TH BAY STREET,PLEASANT AVENUE
762,W OLNEY ROAD,BOUSH STREET
763,900 BLOCK OF E CHARLOTTE STREET,
764,LLEWELLYN AVENUE,W VIRGINIA BEACH BOULEVARD
765,ORLEANS STREET,LAFAYETTE AVENUE
766,GRANBY STREET,LLEWELLYN AVENUE
767,W OLNEY ROAD,DUKE STREET
768,GRANBY STREET,KINGSLEY LANE
769,TIDEWATER DRIVE,E VIRGINIA BEACH BOULEVARD
770,HAMPTON BOULEVARD,JAMESTOWN CRESCENT
771,E 19TH STREET,MONTICELLO AVENUE
772,W PRINCESS ANNE ROAD,COLONIAL AVENUE
773,600 BLOCK OF W LITTLE CREEK ROAD,
774,2000 BLOCK OF E OCEAN VIEW AVENUE,
775,1400 BLOCK OF MONTICELLO AVENUE,
776,W PRINCESS ANNE ROAD,HAMPTON BOULEVARD
777,LLEWELLYN AVENUE,SHIRLEY AVENUE
778,300 BLOCK OF SHIRLEY AVENUE,
779,COLLEY AVENUE,W 21ST STREET
780,E 27TH STREET,CHURCH STREET
781,COLONIAL AVENUE,W 26TH STREET
782,COLLEY AVENUE,W 26TH STREET
783,W OLNEY ROAD,BOUSH STREET
784,TIDEWATER DRIVE,E VIRGINIA BEACH BOULEVARD
785,200 BLOCK OF SHIRLEY AVENUE,
786,2205 MCKANN AVENUE,
787,QUEENS WAY,SHIRLEY AVENUE
788,HAMPTON BOULEVARD,JAMESTOWN CRESCENT
789,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
790,E PRINCESS ANNE ROAD,ARMISTEAD AVENUE
791,COLLEY AVENUE,W 21ST STREET
792,E BAYVIEW BOULEVARD,STURGIS ROAD
793,1600 BLOCK OF NORVIEW AVENUE,
794,CHESAPEAKE BOULEVARD,JOHNSTONS ROAD
795,TIDEWATER DRIVE,E VIRGINIA BEACH BOULEVARD
796,7400 BLOCK OF TIDEWATER DRIVE,
797,4TH VIEW STREET,W OCEAN VIEW AVENUE
798,DOMINION AVENUE,MONA AVENUE
799,HAMPTON BOULEVARD,TERMINAL BOULEVARD
800,AZALEA GARDEN ROAD,E PRINCESS ANNE ROAD
801,BOLLING AVENUE,HAMPTON BOULEVARD
802,BOTETOURT GARDENS,W PRINCESS ANNE ROAD
803,E BRAMBLETON AVENUE,SAINT PAULS BOULEVARD
804,8000 WESTCLIFF DRIVE,
805,426 GRANBY STREET,
806,426 GRANBY STREET,
807,4002 GRANBY STREET,
808,800 BLOCK OF ALMA DRIVE,
809,4TH VIEW STREET,W OCEAN VIEW AVENUE
810,CORPREW AVENUE,PARK AVENUE
811,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
812,1700 BLOCK OF MONTICELLO AVENUE,
813,1800 BLOCK OF E BRAMBLETON AVENUE,
814,E PRINCESS ANNE ROAD,INGLESIDE ROAD
815,900 BAGNALL ROAD,
816,7000 BLOCK OF HAMPTON BOULEVARD,
817,6000 BLOCK OF HAMPTON BOULEVARD,
818,E VIRGINIA BEACH BOULEVARD,MONTICELLO AVENUE
819,TIDEWATER DRIVE,I-264E HIGHWAY
820,TIDEWATER DRIVE,I-264W HIGHWAY
821,100 BLOCK OF MEMORIAL PLACE,
822,700 BLOCK OF MOWBRAY ARCH,
823,700 BLOCK OF BOTETOURT STREET,
824,DRUMMOND PLACE,MOWBRAY ARCH
825,MILL STREET,MOWBRAY ARCH
826,500 BLOCK OF MOWBRAY ARCH,
827,FAIRFAX AVENUE,MOWBRAY ARCH
828,600 BLOCK OF MOWBRAY ARCH,
829,PEMBROKE AVENUE,MOWBRAY ARCH
830,601 PEMBROKE AVENUE,
831,W OLNEY ROAD,MOWBRAY ARCH
832,100 BLOCK OF W OLNEY ROAD,
833,200 BLOCK OF W OLNEY ROAD,
834,300 BLOCK OF W OLNEY ROAD,
835,MAGAZINE LANE,W OLNEY ROAD
836,W OLNEY ROAD,BOUSH STREET
837,W OLNEY ROAD,VOSS STREET
838,W OLNEY ROAD,W WILSON AVENUE
839,W OLNEY ROAD,W VIRGINIA BEACH BOULEVARD
840,BOUSH STREET,W VIRGINIA BEACH BOULEVARD
841,LLEWELLYN AVENUE,W VIRGINIA BEACH BOULEVARD
842,GRACE STREET,MEMORIAL PLACE
843,CORPREW AVENUE,MADISON AVENUE
844,700 BLOCK OF YARMOUTH STREET,
845,900 BLOCK OF BAGNALL ROAD,
846,200 BLOCK OF GRACE STREET,
847,E CHARLOTTE STREET,WALKE STREET
848,4100 BLOCK OF LLEWELLYN AVENUE,
849,900 BLOCK OF E BRAMBLETON AVENUE,
850,POPLAR HALL DRIVE,RING ROAD
851,AZALEA GARDEN ROAD,NORVIEW AVENUE
852,AZALEA GARDEN ROAD,E LITTLE CREEK ROAD
853,CROMWELL DRIVE,TIDEWATER DRIVE
854,CROMWELL DRIVE,WILLOW WOOD DRIVE
855,TIDEWATER DRIVE,E VIRGINIA BEACH BOULEVARD
856,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
857,BLUESTONE AVENUE,49TH STREET
858,E PRINCESS ANNE ROAD,MONTICELLO AVENUE
859,CHESAPEAKE BOULEVARD,AVENUE J
860,4TH VIEW STREET,W OCEAN VIEW AVENUE
861,TIDEWATER DRIVE,E VIRGINIA BEACH BOULEVARD
862,E VIRGINIA BEACH BOULEVARD,DUBOSE DRIVE
863,E 21ST STREET,MONTICELLO AVENUE
864,38TH STREET,LLEWELLYN AVENUE
865,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
866,HAMPTON BOULEVARD,PORTER STREET
867,11TH STREET,MONTICELLO AVENUE
868,NORVELLA AVENUE,SEWELLS POINT ROAD
869,6600 BLOCK OF AZALEA GARDEN ROAD,
870,1100 BLOCK OF E VIRGINIA BEACH BOULEVARD,
871,GARDNER DRIVE,SPRINGMEADOW BOULEVARD
872,1300 BLOCK OF KEMPSVILLE ROAD,
873,8700 BLOCK OF HAMPTON BOULEVARD,
874,BESSIE STREET,JANET DRIVE
875,1402 LOIS LANE,
876,GRANBY STREET,W LITTLE CREEK ROAD
877,152 DUPRE AVENUE,
878,313 E LITTLE CREEK ROAD,
879,6437 AZALEA GARDEN ROAD,
880,1000 MONTICELLO AVENUE,
881,1700 BLOCK OF BANNING ROAD,
882,17TH STREET,MONTICELLO AVENUE
883,KEMPSVILLE ROAD,LOWERY ROAD
884,NORTHAMPTON BOULEVARD,USAA DRIVE
885,6937 GARDNER DRIVE,
886,145 N ABILENE AVENUE,
887,E BALVIEW AVENUE,VINING STREET
888,HANSON AVENUE,GOFF STREET
889,E PRINCESS ANNE ROAD,MONTICELLO AVENUE
890,3486 JOHNS STREET,
891,1053 DUBOSE DRIVE,
892,CALVIN AVENUE,HALPRIN DRIVE
893,FISHERMANS ROAD,QUINCY STREET
894,820 E 29TH STREET,
895,FORT WORTH AVENUE,E LITTLE CREEK ROAD
896,2312 FAIRBANKS AVENUE,
897,CAROLINA AVENUE,MAYFLOWER ROAD
898,E 28TH STREET,GAZEL STREET
899,3412 HERBERT STREET,
900,1510 CRANE AVENUE,
901,6961 RIDDICK STREET,
902,3418 HUMBOLDT STREET,
903,JOHNSTONS ROAD,RED BROOK ROAD
904,CHELSEA AVENUE,MAPLE AVENUE
905,5371 WYNGATE DRIVE,
906,107 AMARILLO AVENUE,
907,3800 PETERSON STREET,
908,8921 HAMMETT AVENUE,
909,1742 BANNING ROAD,
910,6700 AZALEA GARDEN ROAD,
911,9400 BLOCK OF WELLS PARKWAY,
912,2312 PALMYRA STREET,
913,200 BELLAMY AVENUE,
914,200 BATTERSEA ROAD,
915,1517 SHIPP AVENUE,
916,3243 DUNKIRK AVENUE,
917,1320 SUSSEX PLACE,
918,3148 AZALEA GARDEN ROAD,
919,4740 LITTLE JOHN DRIVE,
920,8530 DEVON STREET,
921,7712 HAMPTON BOULEVARD,
922,1347 CORNWALL PLACE,
923,1540 MILTATE AVENUE,
924,7371 KIRBY CRESCENT,
925,537 FISHERMANS ROAD,
926,7929 MERRITT STREET,
927,300 TWILLEY STREET,
928,38TH STREET,PARKER AVENUE
929,7300 BLOCK OF SHIRLAND AVENUE,
930,E BRAMBLETON AVENUE,ROSWELL AVENUE
931,CHURCH STREET,E BRAMBLETON AVENUE
932,HAMPTON BOULEVARD,TERMINAL BOULEVARD
933,AZALEA GARDEN ROAD,LEAFWOOD DRIVE
934,E PRINCESS ANNE ROAD,ARMISTEAD AVENUE
935,HAMPTON BOULEVARD,WOODVIEW AVENUE
936,851 NORVIEW AVENUE,
937,21ST BAY STREET,PRETTY LAKE AVENUE
938,8711 CHESAPEAKE BOULEVARD,
939,WESTCLIFF DRIVE,DOVERCOURT ROAD
940,E PRINCESS ANNE ROAD,INGLESIDE ROAD
941,POWHATAN AVENUE,W 40TH STREET
942,8511 CARLTON STREET,
943,8109 MONA AVENUE,
944,1405 RAMSEY ROAD,
945,1346 CORNWALL PLACE,
946,N MILITARY HIGHWAY,ROBIN HOOD ROAD
947,894 E LITTLE CREEK ROAD,
948,327 TIDEWATER DRIVE,
949,2418 ARKANSAS AVENUE,
950,NORWAY PLACE,MAURY CRESCENT
951,6719 PALEM ROAD,
952,2756 MARTONE ROAD,
953,3741 LAFAYETTE BOULEVARD,
954,6513 CLEMSON AVENUE,
955,1332 HILLSIDE AVENUE,
956,5207 TEXAS AVENUE,
957,5528 BAYBERRY DRIVE,
958,3200 BLOCK OF PRETTY LAKE AVENUE,
959,WATER STREET,PARK AVENUE
960,7TH BAY STREET,PRETTY LAKE AVENUE
961,WATER STREET,PARK AVENUE
962,7TH BAY STREET,PRETTY LAKE AVENUE
963,55 RADER STREET,
964,AMBLER AVENUE,AZALEA GARDEN ROAD
965,ARCADIA STREET,SCOTT STREET
966,TIDEWATER DRIVE,E VIRGINIA BEACH BOULEVARD
967,RABY ROAD,SABRE ROAD
968,E VIRGINIA BEACH BOULEVARD,PARK AVENUE
969,508 MOWBRAY ARCH,
970,COLONIAL AVENUE,35TH STREET
971,E PRINCESS ANNE ROAD,MONTICELLO AVENUE
972,900 BLOCK OF MADISON AVENUE,
973,OXFORD STREET,NEWPORT AVENUE
974,300 BLOCK OF SHIRLEY AVENUE,
975,LLEWELLYN AVENUE,SHIRLEY AVENUE
976,MAGNOLIA AVENUE,HAMPTON BOULEVARD
977,COLLEY AVENUE,W 21ST STREET
978,N MILITARY HIGHWAY,NORVIEW AVENUE
979,300 BLOCK OF E LITTLE CREEK ROAD,
980,W OLNEY ROAD,DUKE STREET
981,1200 BLOCK OF MONTICELLO AVENUE,
982,35TH STREET,HAMPTON BOULEVARD
983,LLEWELLYN AVENUE,W 25TH STREET
984,E PRINCESS ANNE ROAD,SALTER STREET
985,8100 BLOCK OF TIDEWATER DRIVE,
986,3600 BLOCK OF SEWELLS POINT ROAD,
987,BESSIE STREET,JANET DRIVE
988,AZALEA GARDEN ROAD,SHAFER STREET
989,2800 BLOCK OF DUNKIRK AVENUE,
990,E PRINCESS ANNE ROAD,INGLESIDE ROAD
991,E PRINCESS ANNE ROAD,MERRIMAC AVENUE
992,AZALEA GARDEN ROAD,E PRINCESS ANNE ROAD
993,CROMWELL DRIVE,TIDEWATER DRIVE
994,CHESAPEAKE BOULEVARD,E LITTLE CREEK ROAD
995,DIVEN STREET,TERMINAL BOULEVARD
996,HAMPTON BOULEVARD,TERMINAL BOULEVARD
997,CHESAPEAKE BOULEVARD,ROBIN HOOD ROAD
998,I-64E HIGHWAY,KEMPSVILLE ROAD
999,1600 BLOCK OF LAFAYETTE BOULEVARD,
1000,2900 BLOCK OF SOUTH CAPE HENRY AVENUE,
1001,1300 BLOCK OF VIRGILINA AVENUE,
1002,1300 BLOCK OF JOHNSTONS ROAD,
1003,W PRINCESS ANNE ROAD,STOCKLEY GARDENS
1004,PYTHIAN AVENUE,WINSTON STREET
1005,4000 HEUTTE DRIVE,
1006,1300 BLOCK OF KEMPSVILLE ROAD,
1007,E LITTLE CREEK ROAD,SAN ANTONIO BOULEVARD
1008,925 TIFTON STREET,
1009,EDWARD STREET,NORVIEW AVENUE
1010,5812 MONROE PLACE,
1011,BEACH VIEW STREET,LONDON STREET
1012,2023 MEADOW LAKE COURT,
1013,6129 EDISON AVENUE,
1014,9634 SALEM STREET,
1015,7000 BLOCK OF HUNTERS COURT,
1016,1600 BLOCK OF BANNING ROAD,
1017,7000 BLOCK OF GARDNER DRIVE,
1018,6900 BLOCK OF CHIRONNA PLACE,
1019,1629 COLON AVENUE,
1020,5906 MCGINNIS CIRCLE,
1021,2634 MARLBORO AVENUE,
1022,KINGSTON AVENUE,STURGIS STREET
1023,2509 COTTAGE AVENUE,
1024,7700 GLOUCESTER AVENUE,
1025,7700 GLOUCESTER AVENUE,
1026,426 DELAWARE AVENUE,
1027,426 DELAWARE AVENUE,
1028,MAYFLOWER ROAD,NEW JERSEY AVENUE
1029,425 PLEASANT POINT DRIVE,
1030,7012 HUNTERS COURT,
1031,731 MICHIGAN AVENUE,
1032,CALLA AVENUE,STURGIS ROAD
1033,KINGSTON AVENUE,MORWIN STREET
1034,8201 CARLTON STREET,
1035,1300 TEMPLAR BOULEVARD,
1036,7445 HAMPTON BOULEVARD,
1037,446 PEACE HAVEN DRIVE,
1038,E BRAMBLETON AVENUE,TIDEWATER DRIVE
1039,W BAYVIEW BOULEVARD,EXECUTIVE DRIVE
1040,8711 SEMMES AVENUE,
1041,243 GREENBRIER AVENUE,
1042,8100 BLOCK OF GLEN MYRTLE AVENUE,
1043,300 BLOCK OF ROGERS AVENUE,
1044,533 BEECHWOOD AVENUE,
1045,BOUSH CREEK AVENUE,GLENDALE AVENUE
1046,PACE ROAD,RIDGEFIELD DRIVE
1047,REDMON ROAD,SIMMS ROAD
1048,1400 BLOCK OF GODFREY AVENUE,
1049,FORREST AVENUE,EVERGREEN AVENUE
1050,GLEN MYRTLE AVENUE,BEECHWOOD AVENUE
1051,600 BLOCK OF W 23RD STREET,
1052,8014 WOODALL ROAD,
1053,5300 BLOCK OF WYNGATE DRIVE,
1054,5300 BLOCK OF GREENPLAIN ROAD,
1055,1100 BLOCK OF EASTOVER ROAD,
1056,3507 POMROY AVENUE,
1057,5512 JANET DRIVE,
1058,5531 KILMER LANE,
1059,ROLFE AVENUE,WALNUT HILL STREET
1060,SURREY CRESCENT,UPPER BRANDON PLACE
1061,916 LITTLE BAY AVENUE,
1062,9500 BLOCK OF 10TH BAY STREET,
1063,4245 HEUTTE DRIVE,
1064,7945 RANSOM ROAD,
1065,1510 CRANE AVENUE,
1066,2538 WEST AZALEA POINT ROAD,
1067,2460 RANKIN COURT,
1068,3829 WEDGEFIELD AVENUE,
1069,5371 WYNGATE DRIVE,
1070,2733 AYLIFF ROAD,
1071,3500 BLOCK OF SEWELLS POINT ROAD,
